Monitoring Location,State,Temp_Min,Temp_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,N_Min,N_Max,Fecal_Min,Fecal_Max,Coliform_Min,Coliform_Max,Strepto_Min,Strepto_Max,Cluster
"RIVER SUTLEJ AT 1 KM. D/S OF ZENITH, PUNJAB",PUNJAB,14.0,29.0,7.0,9.8,7.3,8.5,243.0,363.0,1.0,1.0,0.7,2.7,78.0,700.0,490.0,1700.0,,,0
RIVER SUTLEJ AT U/S HEAD WORKS ROPAR,PUNJAB,14.0,27.0,6.4,9.0,7.5,8.2,240.0,348.0,1.0,1.2,1.1,2.6,61.0,460.0,330.0,1300.0,,,0
"RIVER SUTLEJ AT U/S BUDHA NALLAH (UPPER), PUNJAB",PUNJAB,12.0,28.0,6.5,8.1,7.4,8.2,259.0,394.0,1.0,2.8,1.1,3.3,210.0,1300.0,790.0,3900.0,,,0
"RIVER SUTLEJ AT 100M D/S BUDHA NALA CONFL.,
LUDHIANA",PUNJAB,12.0,30.0,0.3,2.1,7.2,7.8,505.0,1250.0,17.0,105.0,1.1,8.0,79000.0,2200000.0,220000.0,7900000.0,,,0
"RIVER SUTLEJ AT BRIDGE HARIKE, AMRITSAR",PUNJAB,11.0,30.0,4.2,7.5,7.2,7.9,271.0,442.0,1.0,3.6,1.1,3.2,270.0,2200.0,700.0,5400.0,,,0
"RIVER SUTLEJ AT JALANDHAR U/S (PEERU SHAH KA
DARGAH)",PUNJAB,15.0,34.0,0.3,0.3,6.9,7.8,937.0,1165.0,42.0,100.0,1.1,2.8,63000.0,490000.0,220000.0,790000.0,,,0
RIVER SUTLEJ AT JALANDHAR D/S (MALSIAN BRIDGE),PUNJAB,16.0,31.0,0.3,0.3,6.7,7.7,849.0,1309.0,35.0,79.0,0.82,5.0,63000.0,460000.0,210000.0,700000.0,,,0
"RIVER SUTLEJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR",PUNJAB,11.0,28.0,0.3,7.6,7.1,7.8,305.0,733.0,2.2,41.0,1.3,4.6,4900.0,1200000.0,17000.0,2800000.0,,,0
"RIVER SUTLEJ AT D/S EAST BEIN, PUNJAB",PUNJAB,12.0,29.0,0.3,7.8,7.1,7.8,300.0,808.0,2.0,50.0,1.7,6.3,7900.0,1700000.0,17000.0,3500000.0,,,0
"RIVER SUTLEJ AT U/S HUSSANIWALA - H/W FEROZEPUR,
PUNJAB",PUNJAB,12.0,30.0,4.8,9.1,7.0,8.1,248.0,422.0,1.0,2.0,1.1,2.6,110.0,780.0,540.0,2600.0,,,0
